policy,baseline_policy,sample_count,iou3d_asset_macro,iou3d_asset_present_macro,iou3d_asset_future_macro,iou3d_asset_combined_macro,delta_macro_vs_score090,delta_future_macro_vs_score090,iou3d_asset_micro,iou3d_asset_present_micro,iou3d_asset_future_micro,iou3d_asset_combined_micro,delta_tp_vs_score090,delta_fp_vs_score090,delta_fn_vs_score090,tp,fp,fn,present_tp,present_fp,present_fn,future_tp,future_fp,future_fn,mean_selected,mean_rescue,win_samples,loss_samples,tie_samples
depth_std_a0.5+past_speed_a0.25__global090__occ0.80,score_ge_090__occ0.80,4981,0.15268550302260184,0.18400518875847793,0.14600375553599845,0.15268550302260184,0.004468139360855189,0.004564880753099632,0.15229793494606603,0.17388568676625443,0.14693791855813937,0.15229793494606603,3596142,-18153947,-3596142,132965826,373845191,366252863,30196261,67114068,76345488,102769565,306731123,289907375,12.135514956835976,1.4918691025898414,2294,1657,1030
depth_std_a0.5+past_speed_a0.25__global090__occ0.90,score_ge_090__occ0.90,4981,0.15235641382184403,0.18439052422842217,0.14552512612261856,0.15235641382184403,0.004744910034429811,0.004837270563441937,0.14977755658477293,0.17094383363187476,0.14449268453249897,0.14977755658477293,3581835,-15031112,-3581835,121592104,312599228,377626585,27726944,55657398,78814805,93865160,256941830,298811780,12.135514956835976,1.4918691025898414,2342,1607,1032
